시군구명,경기도미용,경기도비미용,미용목적_병원_비율,비미용목적_병원_비율
고양시덕양구,8.0,223,3.463203463203463,96.53679653679653
고양시일산동구,12.0,145,7.643312101910828,92.35668789808918
고양시일산서구,12.0,168,6.666666666666667,93.33333333333333
광명시,12.0,212,5.357142857142857,94.64285714285714
구리시,8.0,150,5.063291139240507,94.9367088607595
군포시,6.0,159,3.6363636363636362,96.36363636363636
김포시,3.0,242,1.2244897959183674,98.77551020408163
남양주시,11.0,344,3.0985915492957745,96.90140845070422
부천시,29.0,497,5.513307984790875,94.48669201520913
성남시분당구,58.0,403,12.58134490238612,87.41865509761388
성남시수정구,14.0,206,6.363636363636363,93.63636363636364
성남시중원구,4.0,139,2.797202797202797,97.2027972027972
수원시권선구,1.0,162,0.6134969325153374,99.38650306748467
수원시영통구,15.0,228,6.172839506172839,93.82716049382715
수원시장안구,3.0,163,1.8072289156626504,98.19277108433735
수원시팔달구,23.0,181,11.27450980392157,88.72549019607843
시흥시,9.0,248,3.501945525291829,96.49805447470817
안산시단원구,17.0,201,7.79816513761468,92.20183486238533
안산시상록구,2.0,126,1.5625,98.4375
안양시동안구,21.0,262,7.420494699646643,92.57950530035336
안양시만안구,6.0,129,4.444444444444445,95.55555555555556
양주시,3.0,88,3.296703296703297,96.7032967032967
오산시,4.0,109,3.5398230088495577,96.46017699115043
용인시기흥구,15.0,220,6.382978723404255,93.61702127659575
용인시수지구,12.0,210,5.405405405405405,94.5945945945946
용인시처인구,3.0,113,2.586206896551724,97.41379310344827
의왕시,1.0,72,1.36986301369863,98.63013698630137
의정부시,14.0,264,5.0359712230215825,94.96402877697841
이천시,3.0,105,2.7777777777777777,97.22222222222221
파주시,6.0,190,3.061224489795918,96.93877551020408
평택시,13.0,268,4.6263345195729535,95.37366548042705
화성시,26.0,380,6.403940886699508,93.59605911330048
가평군,0.0,22,0.0,100.0
과천시,0.0,38,0.0,100.0
광주시,0.0,131,0.0,100.0
동두천시,0.0,43,0.0,100.0
안성시,0.0,77,0.0,100.0
양평군,0.0,44,0.0,100.0
여주시,0.0,47,0.0,100.0
연천군,0.0,17,0.0,100.0
포천시,0.0,66,0.0,100.0
하남시,0.0,153,0.0,100.0
