시군구명,서울미용,서울비미용,미용목적_병원_비율,비미용목적_병원_비율
강남구,596.0,885,40.243079000675216,59.756920999324784
강동구,27.0,389,6.490384615384616,93.50961538461539
강북구,9.0,221,3.91304347826087,96.08695652173913
강서구,27.0,403,6.279069767441861,93.72093023255815
관악구,12.0,335,3.45821325648415,96.54178674351584
광진구,16.0,256,5.88235294117647,94.11764705882352
구로구,10.0,279,3.4602076124567476,96.53979238754326
금천구,3.0,172,1.7142857142857144,98.28571428571429
노원구,30.0,339,8.130081300813007,91.869918699187
도봉구,6.0,168,3.4482758620689653,96.55172413793103
동대문구,11.0,275,3.8461538461538463,96.15384615384616
동작구,16.0,281,5.387205387205387,94.61279461279462
마포구,28.0,334,7.734806629834254,92.26519337016575
서대문구,15.0,205,6.8181818181818175,93.18181818181817
서초구,163.0,521,23.830409356725145,76.16959064327486
성북구,7.0,250,2.7237354085603114,97.27626459143968
송파구,42.0,536,7.26643598615917,92.73356401384083
양천구,20.0,300,6.25,93.75
영등포구,25.0,368,6.361323155216285,93.63867684478372
용산구,9.0,154,5.521472392638037,94.47852760736197
은평구,21.0,325,6.069364161849711,93.9306358381503
종로구,7.0,202,3.349282296650718,96.65071770334929
중구,16.0,286,5.298013245033113,94.70198675496688
중랑구,15.0,261,5.434782608695652,94.56521739130434
성동구,0.0,208,0.0,100.0
