시군구명,개업,폐업,영업중,인구수,만명당_요양기관_수
강남구,3290,3165,3306,1062788,31.106862328140704
강동구,1106,1053,1121,922709,12.149009059194176
강북구,638,587,643,592803,10.846773717406965
강서구,1154,1002,1181,1145330,10.311438624675858
관악구,939,1027,945,973324,9.708997209562282
광진구,739,729,749,679328,11.025601771162089
구로구,774,755,787,789222,9.97184569107298
금천구,485,479,485,462834,10.478919007678778
노원구,968,881,990,1015312,9.750697322596404
도봉구,488,503,496,628952,7.886134394993577
동대문구,834,1209,829,674118,12.297550280514688
동작구,789,708,789,771130,10.231737839274832
마포구,970,865,977,734545,13.300750804920051
서대문구,593,657,592,610663,9.694381352726463
서초구,1563,1540,1619,814650,19.87356533480636
성동구,612,601,621,567224,10.948055794536197
성북구,733,914,744,866447,8.586791806077002
송파구,1605,1411,1628,1325089,12.28596720673102
양천구,840,840,849,888572,9.554656234947759
영등포구,1056,1132,1069,752336,14.209076795474362
용산구,448,477,449,443935,10.114093279421537
은평구,908,828,919,946606,9.708368634891391
종로구,673,869,673,286870,23.460103879806184
중구,740,1000,742,243879,30.42492383518056
중랑구,715,742,722,776496,9.298180544394306
